matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083393.9531243,1527083394.0935247,7.130587072135745e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083402.5955398,1527083406.776347,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083407.6187484,1527083408.1959496,1.9844053763920097e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083422.2047741,1527083438.038802,1.7128021741099656e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083449.0212212,1527083469.7536576,1.294662946310899e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083473.7784646,1527083475.9624686,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083483.169681,1527083487.2412882,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083487.5220888,1527083487.6624892,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083498.410908,1527083503.3717165,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083504.151718,1527083504.728919,1.9844053763920097e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083518.7689435,1527083535.492173,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083545.2109902,1527083565.7874262,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083569.9058335,1527083572.7606385,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083578.236248,1527083582.151855,2.4089218442958417e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083582.3546555,1527083582.4638555,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083593.1030743,1527083598.4538836,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083599.5146854,1527083600.2634866,1.984420540904643e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083614.9899125,1527083631.8223422,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083644.3179643,1527083666.345203,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083670.49481,1527083673.3340151,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083680.073227,1527083684.7220352,2.4089218442958417e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083685.1120358,1527083685.330436,7.130641612679843e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083694.4096522,1527083698.5592594,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083699.3392608,1527083699.932062,1.984420540904643e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083714.876888,1527083732.1617186,1.7128021407413205e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083742.3797364,1527083762.644172,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083766.1385782,1527083768.338182,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083775.5453947,1527083779.4922016,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083779.741802,1527083779.8510022,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083787.651016,1527083791.8630233,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083792.6586246,1527083793.2358258,1.9843485084375063e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083808.3990524,1527083825.325082,1.7128021392881562e-12,windows,mkl,0
matrici_def_pos\apache2.mtx,715176x715176,def_pos,1527083835.4963,1527083855.0899343,1.2946633511180317e-11,windows,mkl,0
matrici_def_pos\cfd1.mtx,70656x70656,def_pos,1527083858.724741,1527083860.9711447,8.86717513758238e-14,windows,mkl,0
matrici_def_pos\cfd2.mtx,123440x123440,def_pos,1527083867.1175554,1527083872.1875644,2.417281964028079e-13,windows,mkl,0
matrici_def_pos\ex15.mtx,6867x6867,def_pos,1527083872.6555653,1527083872.8583658,7.130600364180748e-07,windows,mkl,0
matrici_def_pos\parabolic_fem.mtx,525825x525825,def_pos,1527083882.202782,1527083886.3679893,4.529659375100226e-12,windows,mkl,0
matrici_def_pos\shallow_water1.mtx,81920x81920,def_pos,1527083887.1947908,1527083887.7719917,1.9843902117634907e-16,windows,mkl,0
matrici_def_pos\G3_circuit.mtx,1585478x1585478,def_pos,1527083901.8744166,1527083918.8316462,1.7128021407413205e-12,windows,mkl,0
