matrix,dimensions,type,start_time,end_time,rel_error,system,library,umfpack_error
cfd2.mtx,123440x123440,def_pos,1527106434.4906344,1527106444.6971416,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527106445.2958736,1527106445.4434683,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527106472.402267,1527106484.472372,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527106487.09972,1527106488.7544556,1.9872126274438255e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527106537.0884204,1527106580.3694942,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527106611.3809063,1527106654.5202181,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527106664.516536,1527106670.2117453,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527106687.0541344,1527106697.2501926,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527106697.8498712,1527106697.9974875,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527106725.177998,1527106737.2405248,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527106739.8447928,1527106741.5109081,1.9872277705343582e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527106790.111138,1527106833.3701944,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527106864.0030663,1527106907.2721488,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527106917.3846986,1527106923.08279,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527106939.9059107,1527106950.2083309,2.9934981993194333e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527106950.8014026,1527106950.989561,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527106978.25607,1527106990.3466713,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527106993.0040326,1527106994.675339,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527107043.0362725,1527107086.3664134,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527107117.4766712,1527107160.6743991,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527107170.6256828,1527107176.3810947,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527107193.2805166,1527107203.5885599,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527107204.1775599,1527107204.3650143,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527107231.5414944,1527107243.6092646,4.459792388710768e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527107246.2042022,1527107247.8774545,1.9876441603136394e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527107296.8101923,1527107340.1303744,1.6942702836767502e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527107370.7409441,1527107414.0064769,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527107423.987183,1527107429.7417853,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527107446.6058383,1527107456.8133378,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527107457.4217093,1527107457.5740216,5.841327641983031e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527107484.5825543,1527107496.6476967,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527107499.3304305,1527107501.0068285,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527107549.4451113,1527107592.805484,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527107623.816596,1527107667.071783,1.2445964740477229e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527107677.049458,1527107682.7485154,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527107699.6895041,1527107709.906152,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527107710.5018907,1527107710.6558394,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527107737.8393238,1527107749.9219337,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527107752.5351732,1527107754.2046237,1.9874056932051922e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527107802.9528322,1527107846.2468526,1.6942702842727966e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527107876.8487306,1527107920.0273745,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527107929.9875035,1527107935.742583,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527107952.633441,1527107962.9466467,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527107963.5439837,1527107963.7329047,5.841559766959052e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527107990.7088208,1527108002.7675607,4.459792298554373e-12,windows,mkl,0
shallow_water1.mtx,81920x81920,def_pos,1527108005.3910227,1527108007.04496,1.9872277705343582e-16,windows,mkl,0
G3_circuit.mtx,1585478x1585478,def_pos,1527108055.4889746,1527108098.80027,1.6942702836767502e-12,windows,mkl,0
apache2.mtx,715176x715176,def_pos,1527108129.7640524,1527108172.9788342,1.2445964753702244e-11,windows,mkl,0
cfd1.mtx,70656x70656,def_pos,1527108182.948458,1527108188.6981168,7.351571593147851e-14,windows,mkl,0
cfd2.mtx,123440x123440,def_pos,1527108205.6171982,1527108215.918391,2.988965331281976e-13,windows,mkl,0
ex15.mtx,6867x6867,def_pos,1527108216.5186913,1527108216.697777,5.841327641983031e-07,windows,mkl,0
parabolic_fem.mtx,525825x525825,def_pos,1527108243.7219212,1527108255.780467,4.459792298554373e-12,windows,mkl,0
