matrix, dimensions, type, n_iter, time_start, time_stop 
cfd1.mtx, 70656x70656, def_pos, 3, 1527069538.641958, 1527069540.935162 
cfd1.mtx, 70656x70656, def_pos, 4, 1527069540.950762, 1527069543.259566 
cfd1.mtx, 70656x70656, def_pos, 5, 1527069543.275166, 1527069546.894373 
cfd1.mtx, 70656x70656, def_pos, 6, 1527069546.925573, 1527069549.312377 
cfd1.mtx, 70656x70656, def_pos, 7, 1527069549.327977, 1527069551.839581 
cfd1.mtx, 70656x70656, def_pos, 8, 1527069551.870781, 1527069555.411988 
cfd1.mtx, 70656x70656, def_pos, 9, 1527069555.427588, 1527069557.783192 
cfd1.mtx, 70656x70656, def_pos, 10, 1527069557.798792, 1527069560.201196 
cfd1.mtx, 70656x70656, def_pos, 11, 1527069560.216796, 1527069563.711202 
cfd1.mtx, 70656x70656, def_pos, 12, 1527069563.726802, 1527069566.082406 
cfd1.mtx, 70656x70656, def_pos, 13, 1527069566.098006, 1527069568.453610 
cfd1.mtx, 70656x70656, def_pos, 14, 1527069568.469211, 1527069570.809215 
cfd1.mtx, 70656x70656, def_pos, 15, 1527069570.824815, 1527069573.227219 
cfd1.mtx, 70656x70656, def_pos, 16, 1527069573.242819, 1527069575.692023 
cfd1.mtx, 70656x70656, def_pos, 17, 1527069575.707623, 1527069579.389230 
cfd1.mtx, 70656x70656, def_pos, 18, 1527069579.404830, 1527069581.869634 
cfd1.mtx, 70656x70656, def_pos, 19, 1527069581.885234, 1527069584.350039 
cfd1.mtx, 70656x70656, def_pos, 20, 1527069584.365639, 1527069587.969245 
cfd1.mtx, 70656x70656, def_pos, 21, 1527069587.984845, 1527069590.293649 
cfd1.mtx, 70656x70656, def_pos, 22, 1527069590.309249, 1527069593.039254 
cfd1.mtx, 70656x70656, def_pos, 23, 1527069593.070454, 1527069596.330859 
cfd1.mtx, 70656x70656, def_pos, 24, 1527069596.346459, 1527069598.826864 
cfd1.mtx, 70656x70656, def_pos, 25, 1527069598.842464, 1527069601.322868 
cfd1.mtx, 70656x70656, def_pos, 26, 1527069601.338468, 1527069603.725272 
cfd1.mtx, 70656x70656, def_pos, 27, 1527069603.740872, 1527069606.008477 
cfd1.mtx, 70656x70656, def_pos, 28, 1527069606.024077, 1527069608.332882 
