matrix, dimensions, type, n_iter, time_start, time_stop 
cfd1.mtx, 70656x70656, def_pos, 3, 1527100375.264842, 1527100377.307573 
cfd1.mtx, 70656x70656, def_pos, 4, 1527100377.331740, 1527100379.558958 
cfd1.mtx, 70656x70656, def_pos, 5, 1527100379.587423, 1527100381.941621 
cfd1.mtx, 70656x70656, def_pos, 6, 1527100381.967332, 1527100384.023542 
cfd1.mtx, 70656x70656, def_pos, 7, 1527100384.047117, 1527100386.098742 
cfd1.mtx, 70656x70656, def_pos, 8, 1527100386.123493, 1527100387.965373 
cfd1.mtx, 70656x70656, def_pos, 9, 1527100387.987594, 1527100389.849012 
cfd1.mtx, 70656x70656, def_pos, 10, 1527100389.873969, 1527100391.873879 
cfd1.mtx, 70656x70656, def_pos, 11, 1527100391.899508, 1527100393.924096 
cfd1.mtx, 70656x70656, def_pos, 12, 1527100393.951274, 1527100396.741414 
cfd1.mtx, 70656x70656, def_pos, 13, 1527100396.774359, 1527100399.410829 
cfd1.mtx, 70656x70656, def_pos, 14, 1527100399.437006, 1527100401.823081 
cfd1.mtx, 70656x70656, def_pos, 15, 1527100401.850533, 1527100403.942871 
cfd1.mtx, 70656x70656, def_pos, 16, 1527100403.968226, 1527100405.989317 
cfd1.mtx, 70656x70656, def_pos, 17, 1527100406.014296, 1527100408.348886 
cfd1.mtx, 70656x70656, def_pos, 18, 1527100408.376394, 1527100411.077596 
cfd1.mtx, 70656x70656, def_pos, 19, 1527100411.112249, 1527100414.714344 
cfd1.mtx, 70656x70656, def_pos, 20, 1527100414.746635, 1527100417.649569 
cfd1.mtx, 70656x70656, def_pos, 21, 1527100417.680472, 1527100420.149459 
cfd1.mtx, 70656x70656, def_pos, 22, 1527100420.177240, 1527100422.604646 
cfd1.mtx, 70656x70656, def_pos, 23, 1527100422.637375, 1527100425.523654 
cfd1.mtx, 70656x70656, def_pos, 24, 1527100425.555852, 1527100428.047776 
cfd1.mtx, 70656x70656, def_pos, 25, 1527100428.077778, 1527100430.537736 
cfd1.mtx, 70656x70656, def_pos, 26, 1527100430.570006, 1527100433.461542 
cfd1.mtx, 70656x70656, def_pos, 27, 1527100433.493708, 1527100436.002034 
cfd1.mtx, 70656x70656, def_pos, 28, 1527100436.028335, 1527100438.444434 
cfd1.mtx, 70656x70656, def_pos, 29, 1527100438.474449, 1527100441.556479 
cfd1.mtx, 70656x70656, def_pos, 30, 1527100441.587856, 1527100444.088168 
cfd2.mtx, 123440x123440, def_pos, 1, 1527100447.553511, 1527100452.625704 
cfd2.mtx, 123440x123440, def_pos, 2, 1527100452.653778, 1527100459.985645 
cfd2.mtx, 123440x123440, def_pos, 3, 1527100460.017105, 1527100465.996677 
cfd2.mtx, 123440x123440, def_pos, 4, 1527100466.025777, 1527100470.865506 
cfd2.mtx, 123440x123440, def_pos, 5, 1527100470.891783, 1527100477.710875 
cfd2.mtx, 123440x123440, def_pos, 6, 1527100477.744788, 1527100484.187345 
cfd2.mtx, 123440x123440, def_pos, 7, 1527100484.216735, 1527100490.492071 
cfd2.mtx, 123440x123440, def_pos, 8, 1527100490.521486, 1527100496.444297 
cfd2.mtx, 123440x123440, def_pos, 9, 1527100496.475388, 1527100502.342107 
cfd2.mtx, 123440x123440, def_pos, 10, 1527100502.370038, 1527100507.214856 
cfd2.mtx, 123440x123440, def_pos, 11, 1527100507.241184, 1527100514.152616 
cfd2.mtx, 123440x123440, def_pos, 12, 1527100514.193312, 1527100520.513004 
cfd2.mtx, 123440x123440, def_pos, 13, 1527100520.539289, 1527100526.787494 
cfd2.mtx, 123440x123440, def_pos, 14, 1527100526.817019, 1527100532.811925 
cfd2.mtx, 123440x123440, def_pos, 15, 1527100532.841364, 1527100538.710532 
cfd2.mtx, 123440x123440, def_pos, 16, 1527100538.739692, 1527100544.931423 
cfd2.mtx, 123440x123440, def_pos, 17, 1527100544.963772, 1527100551.250676 
cfd2.mtx, 123440x123440, def_pos, 18, 1527100551.278155, 1527100557.383583 
cfd2.mtx, 123440x123440, def_pos, 19, 1527100557.413323, 1527100563.280895 
cfd2.mtx, 123440x123440, def_pos, 20, 1527100563.311537, 1527100569.433395 
cfd2.mtx, 123440x123440, def_pos, 21, 1527100569.461938, 1527100574.343618 
cfd2.mtx, 123440x123440, def_pos, 22, 1527100574.368782, 1527100580.789580 
cfd2.mtx, 123440x123440, def_pos, 23, 1527100580.831636, 1527100587.721033 
cfd2.mtx, 123440x123440, def_pos, 24, 1527100587.748331, 1527100593.911123 
cfd2.mtx, 123440x123440, def_pos, 25, 1527100593.941212, 1527100599.804263 
cfd2.mtx, 123440x123440, def_pos, 26, 1527100599.834215, 1527100605.829501 
cfd2.mtx, 123440x123440, def_pos, 27, 1527100605.857671, 1527100610.799720 
cfd2.mtx, 123440x123440, def_pos, 28, 1527100610.826699, 1527100617.525248 
cfd2.mtx, 123440x123440, def_pos, 29, 1527100617.561324, 1527100624.216636 
cfd2.mtx, 123440x123440, def_pos, 30, 1527100624.246003, 1527100630.547779 
ex15.mtx, 6867x6867, def_pos, 1, 1527100630.765126, 1527100630.796067 
ex15.mtx, 6867x6867, def_pos, 2, 1527100630.819536, 1527100630.849624 
ex15.mtx, 6867x6867, def_pos, 3, 1527100630.873810, 1527100630.905811 
ex15.mtx, 6867x6867, def_pos, 4, 1527100630.927434, 1527100630.957547 
ex15.mtx, 6867x6867, def_pos, 5, 1527100630.979802, 1527100631.010402 
ex15.mtx, 6867x6867, def_pos, 6, 1527100631.032204, 1527100631.062694 
ex15.mtx, 6867x6867, def_pos, 7, 1527100631.089823, 1527100631.119860 
ex15.mtx, 6867x6867, def_pos, 8, 1527100631.137107, 1527100631.156691 
ex15.mtx, 6867x6867, def_pos, 9, 1527100631.176380, 1527100631.194884 
ex15.mtx, 6867x6867, def_pos, 10, 1527100631.209883, 1527100631.229762 
ex15.mtx, 6867x6867, def_pos, 11, 1527100631.244513, 1527100631.264657 
ex15.mtx, 6867x6867, def_pos, 12, 1527100631.278749, 1527100631.298551 
ex15.mtx, 6867x6867, def_pos, 13, 1527100631.312603, 1527100631.332452 
ex15.mtx, 6867x6867, def_pos, 14, 1527100631.347339, 1527100631.367138 
ex15.mtx, 6867x6867, def_pos, 15, 1527100631.380996, 1527100631.400396 
ex15.mtx, 6867x6867, def_pos, 16, 1527100631.415243, 1527100631.435231 
ex15.mtx, 6867x6867, def_pos, 17, 1527100631.450142, 1527100631.470357 
ex15.mtx, 6867x6867, def_pos, 18, 1527100631.484535, 1527100631.501874 
